age,qx_annual
0,0.0267200000
1,0.0009989960
2,0.0009989960
3,0.0009989960
4,0.0009989960
5,0.0005005008
6,0.0005005008
7,0.0005005008
8,0.0005005008
9,0.0005005008
10,0.0005606283
11,0.0005606283
12,0.0005606283
13,0.0005606283
14,0.0005606283
15,0.0008996172
16,0.0008996172
17,0.0008996172
18,0.0008996172
19,0.0008996172
20,0.0012189681
21,0.0012189681
22,0.0012189681
23,0.0012189681
24,0.0012189681
25,0.0014582468
26,0.0014582468
27,0.0014582468
28,0.0014582468
29,0.0014582468
30,0.0019294311
31,0.0019294311
32,0.0019294311
33,0.0019294311
34,0.0019294311
35,0.0026277742
36,0.0026277742
37,0.0026277742
38,0.0026277742
39,0.0026277742
40,0.0037459595
41,0.0037459595
42,0.0037459595
43,0.0037459595
44,0.0037459595
45,0.0052998805
46,0.0052998805
47,0.0052998805
48,0.0052998805
49,0.0052998805
50,0.0081084314
51,0.0081084314
52,0.0081084314
53,0.0081084314
54,0.0081084314
55,0.0126100412
56,0.0126100412
57,0.0126100412
58,0.0126100412
59,0.0126100412
60,0.0200717382
61,0.0200717382
62,0.0200717382
63,0.0200717382
64,0.0200717382
65,0.0304350543
66,0.0304350543
67,0.0304350543
68,0.0304350543
69,0.0304350543
70,0.0463766828
71,0.0463766828
72,0.0463766828
73,0.0463766828
74,0.0463766828
75,0.0642636831
76,0.0642636831
77,0.0642636831
78,0.0642636831
79,0.0642636831
80,0.0898956550
81,0.0898956550
82,0.0898956550
83,0.0898956550
84,0.0898956550
85,0.1425960808
86,0.1497258849
87,0.1572121791
88,0.1650727881
89,0.1733264275
90,0.1819927489
91,0.1910923863
92,0.2006470056
93,0.2106793559
94,0.2212133237
95,0.2322739899
96,0.2438876894
97,0.2560820738
98,0.2688861775
99,0.2823304864
100,0.2964470107
101,0.3112693613
102,0.3268328293
103,0.3431744708
104,0.3603331943
105,0.3783498541
106,0.3972673468
107,0.4171307141
108,0.4379872498
109,0.4598866123
110,0.4828809429
111,0.5070249900
112,0.5323762396
113,0.5589950515
114,0.5869448041
115,0.6162920443
116,0.6471066465
117,0.6794619789
118,0.7134350778
119,0.7491068317
